track_id,recording_id,recording_mbid,metodo,score
TRAAADJ128F4287B47,10325812,896f8adb-04c9-475c-bd6b-45c97b9fe886,exacto,100.0
TRAAAEA128F935A30D,6006221,bfcd25c4-c33a-4fc5-ac58-56b7920dbeaf,exacto,100.0
TRAAAFI12903CE4F0E,31542285,40feaf55-939f-4179-ae58-c34a4a653bb5,exacto,100.0
TRAAAJG128F9308A25,17590341,d53a2f88-d336-4cc6-b31a-eadafb90035d,sin_sufijo,100.0
TRAAAJN128F428E437,272066,f028e9d4-e03c-48ef-a895-980c2e04a2d6,exacto,100.0
TRAAAOF128F429C156,3130318,a53775aa-5630-439d-8781-a54a974774d7,sin_sufijo,100.0
TRAAAUC128F428716F,1740930,5c43aed7-76d9-4815-b249-9de40ea20248,sin_sufijo,100.0
TRAABJL12903CDCF1A,26908088,df527d0f-6afb-4ad8-b95c-c518db200519,fuzzy,100.0
TRAACIE128F428495B,18530,6340a74a-3ca8-428f-affc-5cc89e9621d7,exacto,100.0
TRAACIW12903CC0F6D,8721463,eaafc2bc-913b-4c39-9be8-1647cea7e136,exacto,100.0
TRAACUP128E0789C69,5699689,98a46a12-7383-4414-817f-1bfc04179727,sin_sufijo,100.0
TRAADAD128F9336553,14144827,74b46eae-421d-4e10-86e9-148fa29273b5,exacto,100.0
TRAADJS12903CFA98D,4237753,5097a076-eadc-4ee9-a04e-f49639956cf2,fuzzy,100.0
TRAADNA128F9331246,17703309,890ad7c6-517b-43e7-b91b-05147c634205,exacto,100.0
TRAADRN128F932D607,898334,2dde0325-9487-408f-957a-b2c256fca50a,fuzzy,96.0
TRAADTV128F92EB880,7173513,08441a20-fd03-4847-835b-70e0234aedab,exacto,100.0
TRAADZE12903CA6C8C,6460864,9fa7aa1c-a563-4f8c-9f48-40f130b7ba41,exacto,100.0
TRAAEEO128F4288E88,2239318,22349bae-c0af-4790-9289-d142dde7a87f,exacto,100.0
TRAAEIE128F9330C33,8337184,fb757035-5721-4591-b5f3-b72cd830f0c7,exacto,100.0
TRAAEOT128F14681B9,19887942,e778fe30-0636-4590-ac13-25e9c9eebf9c,sin_sufijo,100.0
TRAAESC128EF36760E,6789606,96d63859-cb7b-4ad2-ac63-f7a8e01e0050,fuzzy,100.0
TRAAEUB12903CDD3EA,1005318,3bfd2bff-03a1-44f1-b1f9-7a657f35d03d,sin_sufijo,100.0
TRAAFYW128F92E4147,9768341,52ceb657-4d5e-47c5-b079-8a3b77d44e9d,exacto,100.0
TRAAGNS128F9358EC6,21061799,ecd72bcc-9990-424b-b208-d543faf4f2f6,fuzzy,100.0
TRAAGSG128F92CFC6E,7015536,acbfb56e-ba23-4ac5-a34a-6382be5a51bc,exacto,100.0
TRAAHDK128F423BB26,6872301,806cd17a-9c1d-481e-84eb-eb8809adc591,exacto,100.0
TRAAHEH128F427FCEF,14367392,2bd6a11c-715c-40c9-96f4-77fb34c0823c,exacto,100.0
TRAAHHO128F92F654C,47260589,774f298f-85a2-4596-9b76-051a09fe022f,exacto,100.0
TRAAHHZ128F429B6E5,1234821,e778b0fe-a3de-42b5-a7a7-aa46bdf605da,fuzzy,100.0
TRAAHLQ128F4246F56,6198070,738367d9-e0c4-4150-ae48-26d91f8ed9fa,exacto,100.0
TRAAHOA128F425A4F7,1727537,0adfd902-6793-4e57-8178-f339f840118a,exacto,100.0
TRAAHPF128F424091D,3860137,733e935c-22bc-481f-be7f-e0a373021db6,sin_sufijo,100.0
TRAAHWZ128F4269B1F,184727,17ad4cd1-9099-43b1-959d-f084c24057a8,exacto,100.0
TRAAHYK128F932A08F,9097226,233204cc-935b-4339-a0bb-d07bdf064c62,exacto,100.0
TRAAIHF128F426FFA8,6594036,90a5da2f-1412-40a3-9727-aef1dfcdd652,exacto,100.0
TRAAIHL128F92E6DDA,283228,d5b4c89d-525a-4d9c-a576-bb8ec8e1a31a,exacto,100.0
TRAAILD128F93177AC,8656367,df3691e1-e972-43de-b642-159651be3a30,exacto,100.0
TRAAIRC128F92D23C3,1719567,fddda844-072a-4380-8513-804fa89c84a4,exacto,100.0
