track_id,recording_mbid,average_loudness,dynamic_complexity,mfcc_zero_mean,bpm,bpm_histogram_first_peak_bpm_mean,bpm_histogram_first_peak_bpm_median,bpm_histogram_second_peak_bpm_mean,bpm_histogram_second_peak_bpm_median,danceability,onset_rate,key_key,key_scale,tuning_frequency,tuning_equal_tempered_deviation,fuente
TRAAADJ128F4287B47,896f8adb-04c9-475c-bd6b-45c97b9fe886,0.596091389656,3.79549622536,-759.606994629,135.086502075,136,136,129,129,1.15730977058,3.58824419975,G,major,434.193115234,0.0892958939075,acousticbrainz
TRAAAEA128F935A30D,bfcd25c4-c33a-4fc5-ac58-56b7920dbeaf,0.953663051128,2.70124578476,-672.373474121,155.531661987,157,157,152,152,1.24263656139,3.67994856834,"A#",minor,434.193115234,0.132349908352,acousticbrainz
TRAAAJG128F9308A25,d53a2f88-d336-4cc6-b31a-eadafb90035d,0.869268596172,3.97198724747,-736.192382812,147.035324097,148,148,140,140,1.17759442329,3.91512775421,C,major,441.272583008,0.0333644449711,acousticbrainz
TRAAAJN128F428E437,f028e9d4-e03c-48ef-a895-980c2e04a2d6,0.104644536972,4.9989824295,-691.980712891,112.971237183,112,112,98,98,1.07945036888,4.4973154068,E,major,434.193115234,0.222341820598,acousticbrainz
TRAAAOF128F429C156,a53775aa-5630-439d-8781-a54a974774d7,0.908929944038,3.64952516556,-677.834899902,109.661567688,110,110,105,105,1.04083347321,3.72193288803,D,major,436.960693359,0.0976606532931,acousticbrainz
TRAAAUC128F428716F,5c43aed7-76d9-4815-b249-9de40ea20248,0.951174139977,3.03728747368,-626.048278809,123.723487854,123,123,117,117,1.09548985958,2.86849546432,"C#",major,434.193115234,0.37274056673,acousticbrainz
TRAACIE128F428495B,6340a74a-3ca8-428f-affc-5cc89e9621d7,0.845376491547,3.85183119774,-658.342407227,119.399612427,120,120,91,91,1.14746236801,2.71629428864,E,major,434.193115234,0.138624280691,acousticbrainz
TRAACUP128E0789C69,98a46a12-7383-4414-817f-1bfc04179727,0.932244956493,2.36291265488,-646.988708496,117.069297791,117,117,112,112,1.1070202589,3.40475583076,"C#",major,445.112548828,0.0793015435338,acousticbrainz
TRAADJS12903CFA98D,5097a076-eadc-4ee9-a04e-f49639956cf2,0.00424176361412,25.8483448029,-916.878417969,128.265197754,129,129,120,120,0.837639212608,1.35327959061,G,major,439.491973877,0.0338621512055,acousticbrainz
TRAADRN128F932D607,2dde0325-9487-408f-957a-b2c256fca50a,0.434365689754,4.65944623947,-678.530456543,95.6549606323,96,96,126,126,0.908927083015,2.72391343117,"A#",major,434.193115234,0.237839385867,acousticbrainz
TRAADTV128F92EB880,08441a20-fd03-4847-835b-70e0234aedab,0.780576229095,4.95416069031,-665.520568848,140.105224609,140,140,99,99,1.25183439255,3.78573179245,D,minor,434.193115234,0.160410001874,acousticbrainz
TRAAEEO128F4288E88,22349bae-c0af-4790-9289-d142dde7a87f,0.915213704109,3.0754878521,-638.851623535,100.6301651,101,101,96,96,1.12649667263,3.94109034538,E,minor,444.085327148,0.0302020311356,acousticbrainz
TRAAEOT128F14681B9,e778fe30-0636-4590-ac13-25e9c9eebf9c,0.57008600235,4.84844732285,-734.820983887,111.141304016,112,112,99,99,1.0435552597,3.05658364296,A,minor,441.017791748,0.0183587670326,acousticbrainz
TRAAESC128EF36760E,96d63859-cb7b-4ad2-ac63-f7a8e01e0050,0.908229589462,4.69172096252,-693.168273926,148.0078125,148,148,140,140,1.19367897511,4.19232034683,"A#",minor,434.193115234,0.0782355517149,acousticbrainz
TRAAEUB12903CDD3EA,3bfd2bff-03a1-44f1-b1f9-7a657f35d03d,0.956692218781,1.66935133934,-587.41394043,124.969673157,126,126,105,105,0.984761357307,2.25735640526,C,minor,434.193115234,0.311408013105,acousticbrainz
TRAAFYW128F92E4147,52ceb657-4d5e-47c5-b079-8a3b77d44e9d,0.933487713337,2.97645497322,-633.303710938,103.893165588,103,103,98,98,1.29589176178,5.05515432358,B,minor,452.631469727,0.0216629877687,acousticbrainz
